Pop	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio16	bio17	bio18	bio19	biosand	bioclay
Cluster_1	-2.70833337896814	11.2666666787118	21.625080630872	1518.00381171988	22.2999992370605	-29.7999992370605	52.0999984741211	15.5166665712992	-10.4333335558573	15.5166665712992	-21.0166665712992	320	49	10	137	37	137	56	240.375	122.3125
Cluster_2	10.4347221652667	13.0861112276713	35.966612068071	840.953078883201	27.0166670481364	-9.3666664759318	36.3833335240682	0.544444408681657	20.0916665660011	20.7444442907969	-0.0444444815317789	178.666666666667	31.1666666666667	4.16666666666667	78.5	19.8333333333333	22.6666666666667	67.5	324.479166666667	89.5625
Cluster_3	2.63749983410041	11.1416665116946	23.9605731434292	1298.65860712826	23.1000003814697	-23.3999996185303	46.5	15.4166664282481	-11.6499999761581	17.5999997456868	-14.4000001748403	343	60	10	163	40	156	40	149	144.0625
Cluster_4	2.63749995330969	10.4583336611589	24.7827807395291	1152.10505377674	21.5	-20.7000007629395	42.2000007629395	15.8333334922791	-3.26666680971781	15.8333334922791	-12.350000222524	436	74	18	201	56	201	70	180.4375	362.0625
Cluster_5	-0.845833375429114	11.4583332749705	25.8653125785714	1152.70326326562	18.7999992370605	-25.5	44.2999992370605	11.0666666825612	-6.70000001539787	12.5499999523163	-15.8166667620341	268	39	5	110	29	104	52	510	112.75
Cluster_6	5.79166656732559	9.26666663090388	26.1032869854767	939.946393819704	22.2999992370605	-13.1999998092651	35.4999990463257	3.53333326180776	2.66666650772095	17.133333047231	-5.7666666507721	1171	126	83	368	254	273	268	459.625	189.0625
Cluster_7	2.1583333844319	11.4499997664243	24.0041929583448	1321.15106337387	23.3999996185303	-24.2999992370605	47.6999988555908	17.4999998410543	-5.86666665102045	17.4999998410543	-15.0166665712992	476	84	16	215	64	215	65	439.5	229.5625
Cluster_8	2.50000002390395	11.2166668095936	26.4544019007818	1139.50747866078	21.2000007629395	-21.2000007629395	42.4000015258789	15.5666669209798	-10.0333333015442	15.5666669209798	-12.3333333333333	469	92	14	243	53	243	56	190.1875	255.375
Cluster_9	5.99749996730436	10.0250000982235	27.6936790234862	951.417382050197	22.9199996948242	-13.279999923706	36.1999996185303	1.59666656280557	2.09666662216187	17.403333346049	-5.89666676099101	1152.2	115	81	333.4	258.2	258.2	304.6	426.625	190.25
Cluster_10	6.76249996076028	8.00833338995775	28.499407662038	752.330091208137	19.8999996185303	-8.19999980926514	28.0999994277954	0.133333255847295	15.5	15.5	-2.63333335518837	1218	138	81	382	253	253	350	411.875	190.6875
Cluster_11	8.50416662544012	8.77500006059805	25.4347827843422	951.669485562303	24.3999996185303	-10.1000003814697	34.5	10.7333333094915	-2.93333346645037	19.8666664759318	-3.38333343466123	992	99	56	274	196	266	211	488.9375	224.0625
Cluster_12	5.30208334575097	11.237500016888	30.1672673141135	928.928857039397	21.75	-15.5	37.25	14.233333448569	0.866666634877523	16.4833335081737	-6.59166666865349	455	67.5	20	169.5	71.5	163.5	88.5	279.5	217.75
Cluster_13	3.0958333487312	8.32499998311202	23.7179490564878	974.454297236597	19.7999992370605	-15.3000001907349	35.0999994277954	-0.316666642824809	-4.71666666865349	14.8166666030884	-9.06666668256124	1142	116	70	324	251	302	258	458.31	170.1785
Cluster_14	5.1999998986721	9.33333337306976	22.4358973256817	1171.71979912614	23.8999996185303	-17.7000007629395	41.6000003814697	18.8166666030884	-9.05000021060308	18.8166666030884	-10.0166668891907	1001	99	57	291	188	291	201	195.8125	232.75
