"","group","abd_trend","mean","cell","lc_cropland"
"1",1,NA,-0.41934996843338,158903,NA
"2",1,NA,-0.430885195732117,160062,NA
"3",1,-31.7799243927002,-0.467243254184723,160063,NA
"4",1,-32.043773651123,-0.531421482563019,160064,NA
"5",1,NA,-0.490026354789734,161220,NA
"6",1,NA,-0.594048857688904,161221,NA
"7",1,-30.2298011779785,-0.633960127830505,161222,NA
"8",1,NA,-0.605310797691345,161223,NA
"9",1,NA,-0.607941210269928,162379,NA
"10",1,-15.4775857925415,-0.674014806747437,162380,NA
"11",1,NA,-0.647279322147369,162381,NA
"12",1,NA,-0.667311608791351,162382,NA
"13",1,NA,-0.838059425354004,162384,NA
"14",1,NA,-0.704483449459076,163538,NA
"15",1,-24.3597183227539,-0.695852816104889,163539,NA
"16",1,-22.3471450805664,-0.707403361797333,163540,NA
"17",1,-19.7352352142334,-0.787887454032898,163541,NA
"18",1,-24.019645690918,-0.823714435100555,163542,1.89380919933319
"19",1,NA,-0.884464859962463,163543,NA
"20",1,NA,-0.649828910827637,164697,NA
"21",1,NA,-0.67470109462738,164698,1.01030015945435
"22",1,NA,-0.751142144203186,164699,NA
"23",1,-29.4426708221436,-0.767686605453491,164700,NA
"24",1,-29.642915725708,-0.792313039302826,164701,NA
"25",1,-38.3733825683594,-0.758846700191498,165859,NA
"26",2,30.6842288970947,NA,13940,NA
"27",2,26.9220867156982,NA,13941,NA
"28",2,22.4457511901855,NA,13942,NA
"29",2,20.4672336578369,NA,13943,NA
"30",2,19.7615489959717,NA,13944,NA
"31",2,22.5017833709717,1.0196179151535,13945,NA
"32",2,27.2172298431396,1.23814940452576,13946,NA
"33",2,30.6864204406738,1.36591696739197,13947,NA
"34",2,33.9163589477539,1.35430252552032,13948,NA
"35",2,NA,NA,15094,NA
"36",2,NA,NA,15095,NA
"37",2,NA,NA,15096,NA
"38",2,23.5805644989014,NA,15097,NA
"39",2,22.9273548126221,0.819874227046967,15098,NA
"40",2,23.1655788421631,NA,15099,NA
"41",2,24.9138488769531,NA,15100,NA
"42",2,27.4912910461426,0.964629232883453,15101,NA
"43",2,29.9836368560791,1.09199047088623,15102,NA
"44",2,32.3436622619629,1.24658060073853,15103,NA
"45",2,35.9736213684082,1.3860102891922,15104,NA
"46",2,39.5536117553711,1.47486078739166,15105,NA
"47",2,40.3282661437988,1.45268416404724,15106,NA
"48",2,40.9209938049316,NA,15107,NA
"49",2,NA,NA,15108,NA
"50",2,NA,NA,15109,NA
"51",2,NA,NA,15110,NA
"52",2,NA,NA,15111,NA
"53",2,NA,NA,16251,NA
"54",2,NA,NA,16252,NA
"55",2,NA,0.189275324344635,16253,NA
"56",2,22.3725109100342,0.402705162763596,16254,NA
"57",2,21.8763027191162,0.666091322898865,16255,NA
"58",2,20.9262409210205,0.854694664478302,16256,NA
"59",2,20.738639831543,0.994319319725037,16257,NA
"60",2,20.8035984039307,1.08452129364014,16258,NA
"61",2,23.2513332366943,1.16451454162598,16259,NA
"62",2,26.154447555542,1.26884865760803,16260,NA
"63",2,25.5644683837891,1.36934578418732,16261,NA
"64",2,24.6374492645264,1.43144392967224,16262,NA
"65",2,21.4271373748779,1.47217559814453,16263,NA
"66",2,18.3045101165771,1.47621297836304,16264,NA
"67",2,15.5566301345825,1.4374486207962,16265,NA
"68",2,12.9622678756714,1.43730115890503,16266,NA
"69",2,10.7260274887085,1.46062111854553,16267,NA
"70",2,9.60062789916992,1.4855705499649,16268,NA
